Time(in seconds),Dynamic Density,
104,0,0.16302,
105,0,0.114819,
106,0,0.16106,
107,0,0.158709,
108,0,0.0981645,
109,0,0.178695,
110,0,0.180262,
111,0,0.104239,
112,0,0.151067,
113,0,0.159101,
114,0,0.102671,
115,0,0.178499,
116,0,0.172229,
117,0,0.111292,
118,0,0.168898,
119,0,0.166351,
120,0,0.117366,
121,0,0.174384,
122,0,0.181242,
123,0,0.1109,
124,0,0.175756,
125,0,0.157142,
126,0,0.111292,
127,0,0.170073,
128,0,0.181046,
129,0,0.114623,
130,0,0.167918,
131,0,0.149696,
132,0,0.1109,
133,0,0.155966,
134,0,0.157337,
135,0,0.0969888,
136,0,0.135588,
137,0,0.123244,
138,0,0.0862123,
139,0,0.119522,
140,0,0.113643,
141,0,0.0856245,
142,0,0.124028,
143,0,0.126575,
144,0,0.0834692,
145,0,0.103455,
146,0,0.112076,
147,0,0.0928742,
148,0,0.126771,
149,0,0.121285,
150,0,0.0999279,
151,0,0.115799,
152,0,0.121481,
153,0,0.0862123,
154,0,0.124616,
155,0,0.0967929,
156,0,0.0766114,
157,0,0.0834692,
158,0,0.103847,
159,0,0.0954213,
160,0,0.104043,
161,0,0.115015,
162,0,0.0907189,
163,0,0.126771,
164,0,0.114623,
165,0,0.0793545,
166,0,0.0987523,
167,0,0.0958132,
168,0,0.0736723,
169,0,0.0820976,
170,0,0.0913067,
171,0,0.0679902,
172,0,0.0891514,
173,0,0.0803342,
174,0,0.0648552,
175,0,0.0791586,
176,0,0.0723008,
177,0,0.0632877,
178,0,0.0636795,
179,0,0.0642674,
180,0,0.0562339,
181,0,0.0640714,
182,0,0.0697536,
183,0,0.0578014,
184,0,0.0762195,
185,0,0.0630917,
186,0,0.0603486,
187,0,0.059173,
188,0,0.0603486,
189,0,0.0493761,
190,0,0.0626999,
191,0,0.065443,
192,0,0.0534908,
193,0,0.0601527,
194,0,0.0597608,
195,0,0.0517274,
196,0,0.049768,
197,0,0.0570177,
198,0,0.0576055,
199,0,0.0548624,
200,0,0.0570177,
201,0,0.056038,
202,0,0.0548624,
203,0,0.0501599,
204,0,0.0511396,
205,0,0.0513355,
206,0,0.0511396,
207,0,0.0513355,
208,0,0.0536868,
209,0,0.0532949,
210,0,0.0536868,
211,0,0.0548624,
212,0,0.0556461,
