Time(in seconds),Queue Density,Dynamic Density,
37.8,0.464727,0.231437,
37.8667,0.462956,0.2315,
37.9333,0.462909,0.237527,
38,0.463791,0.29715,
38.0667,0.465303,0.258002,
38.1333,0.46644,0.251462,
38.2,0.467557,0.167554,
38.2667,0.470006,0.166786,
38.3333,0.473145,0.150711,
38.4,0.474897,0.106699,
38.4667,0.476307,0.0978549,
38.5333,0.479246,0.0609051,
38.6,0.481163,0.051167,
38.6667,0.48378,0.0434353,
38.7333,0.486731,0.0410018,
38.8,0.488095,0.0417699,
38.8667,0.490325,0.0386388,
38.9333,0.493236,0.0404767,
39,0.494239,0.0449088,
39.0667,0.497128,0.0456337,
39.1333,0.499749,0.0434001,
39.2,0.501325,0.0383919,
39.2667,0.503468,0.0406569,
39.3333,0.506215,0.0424008,
39.4,0.507461,0.0486198,
39.4667,0.509675,0.0455044,
39.5333,0.513363,0.0473619,
39.6,0.51448,0.0411938,
39.6667,0.524218,0.0537299,
39.7333,0.528168,0.0527071,
39.8,0.530206,0.129652,
39.8667,0.53472,0.0695851,
39.9333,0.539023,0.0543882,
40,0.542111,0.0499679,
40.0667,0.544913,0.0505047,
40.1333,0.547448,0.0506772,
40.2,0.549004,0.0500815,
40.2667,0.552182,0.0567943,
40.3333,0.555556,0.057727,
40.4,0.557805,0.0572175,
40.4667,0.56676,0.058738,
40.5333,0.574734,0.0639225,
40.6,0.578441,0.0694048,
40.6667,0.584143,0.0628488,
40.7333,0.589285,0.0615987,
40.8,0.591534,0.0624491,
40.8667,0.59519,0.0669987,
40.9333,0.598227,0.0653058,
41,0.599928,0.0673044,
41.0667,0.601778,0.0824346,
41.1333,0.604313,0.0731237,
41.2,0.605665,0.0716855,
41.2667,0.608592,0.0770111,
41.3333,0.616077,0.110885,
41.4,0.616978,0.0828265,
41.4667,0.618785,0.097996,
41.5333,0.619886,0.0755729,
41.6,0.621026,0.073014,
41.6667,0.622617,0.0739937,
41.7333,0.623879,0.0718815,
41.8,0.624271,0.0724301,
41.8667,0.625298,0.0759178,
41.9333,0.627551,0.0782847,
42,0.629009,0.0715327,
42.0667,0.631352,0.076823,
42.1333,0.633602,0.071854,
42.2,0.634385,0.0753143,
42.2667,0.635361,0.0707176,
42.3333,0.6358,0.0702317,
42.4,0.636654,0.0707568,
42.4667,0.636737,0.0821486,
42.5333,0.637685,0.0798443,
42.6,0.637916,0.0743855,
42.6667,0.637505,0.0780652,
42.7333,0.636784,0.0747108,
42.8,0.636623,0.0733353,
42.8667,0.636012,0.075279,
42.9333,0.635432,0.0695616,
43,0.63669,0.0833399,
43.0667,0.635737,0.0806555,
43.1333,0.634186,0.0959151,
43.2,0.634652,0.0700318,
43.2667,0.634699,0.0680646,
43.3333,0.635722,0.0557206,
43.4,0.63602,0.0536515,
43.4667,0.636729,0.0587576,
43.5333,0.637677,0.0604231,
43.6,0.638061,0.0624099,
43.6667,0.638696,0.0572763,
43.7333,0.638418,0.0569158,
43.8,0.638285,0.0582599,
43.8667,0.637893,0.0630682,
43.9333,0.637513,0.0603525,
44,0.636799,0.0586792,
44.0667,0.636219,0.0620062,
44.1333,0.636219,0.0637344,
44.2,0.636584,0.0618456,
44.2667,0.636337,0.0611637,
44.3333,0.63665,0.0653332,
44.4,0.636482,0.0669439,
44.4667,0.636584,0.0637618,
44.5333,0.636357,0.0657486,
44.6,0.636341,0.0661327,
44.6667,0.632399,0.0764938,
44.7333,0.633225,0.0876074,
44.8,0.633719,0.157839,
44.8667,0.634374,0.0903231,
44.9333,0.634687,0.0822505,
45,0.634671,0.0752046,
45.0667,0.635032,0.0756317,
