Time(in seconds),Queue Density,Dynamic Density,
30.4,0.302531,0.186963,
30.4667,0.304047,0.187367,
30.5333,0.305431,0.188107,
30.6,0.30574,0.190866,
30.6667,0.30621,0.194373,
30.7333,0.307143,0.190706,
30.8,0.306998,0.191184,
30.8667,0.30804,0.192442,
30.9333,0.30795,0.198037,
31,0.308205,0.188715,
31.0667,0.308103,0.194828,
31.1333,0.308291,0.182864,
31.2,0.307876,0.188633,
31.2667,0.308052,0.187629,
31.3333,0.31194,0.210397,
31.4,0.312281,0.19172,
31.4667,0.312116,0.196803,
31.5333,0.312026,0.181504,
31.6,0.311626,0.189538,
31.6667,0.311795,0.187269,
31.7333,0.311125,0.185039,
31.8,0.310349,0.170853,
31.8667,0.310341,0.171441,
31.9333,0.309902,0.169258,
32,0.309757,0.155445,
32.0667,0.30998,0.154802,
32.1333,0.309729,0.151898,
32.2,0.308969,0.15412,
32.2667,0.309886,0.157059,
32.3333,0.309608,0.15412,
32.4,0.309345,0.150452,
32.4667,0.30953,0.145534,
32.5333,0.309228,0.143391,
32.6,0.309142,0.134256,
32.6667,0.308029,0.133045,
32.7333,0.308127,0.140781,
32.8,0.307578,0.142305,
32.8667,0.307547,0.147168,
32.9333,0.307167,0.136964,
33,0.306007,0.16813,
33.0667,0.305975,0.158787,
33.1333,0.306579,0.208395,
33.2,0.30621,0.124299,
33.2667,0.306144,0.117856,
33.3333,0.308044,0.101292,
33.4,0.309212,0.134037,
33.4667,0.313299,0.114721,
33.5333,0.317802,0.0815451,
33.6,0.319789,0.0476636,
33.6667,0.324205,0.0528521,
33.7333,0.327321,0.0571196,
33.8,0.32919,0.0585146,
33.8667,0.334617,0.0580836,
33.9333,0.339484,0.0464645,
34,0.342565,0.0489882,
34.0667,0.347063,0.0526875,
34.1333,0.349838,0.0548976,
34.2,0.351605,0.0571705,
34.2667,0.353917,0.0639421,
34.3333,0.356445,0.0663169,
34.4,0.357499,0.0712937,
34.4667,0.360681,0.0845664,
34.5333,0.362934,0.0862241,
34.6,0.364604,0.0830068,
34.6667,0.375149,0.097706,
34.7333,0.377822,0.09269,
34.8,0.378711,0.106641,
34.8667,0.380028,0.0774696,
34.9333,0.381693,0.0815568,
35,0.383645,0.0850759,
35.0667,0.385373,0.0888614,
35.1333,0.385902,0.0944338,
35.2,0.386827,0.0841981,
35.2667,0.388477,0.0888418,
35.3333,0.389068,0.0885244,
35.4,0.389613,0.0953273,
35.4667,0.391106,0.0961267,
35.5333,0.390777,0.097898,
35.6,0.391933,0.0919376,
35.6667,0.392901,0.103956,
35.7333,0.39363,0.10367,
35.8,0.393034,0.0957662,
35.8667,0.393124,0.0981449,
35.9333,0.394084,0.110426,
36,0.393814,0.106801,
36.0667,0.39363,0.10985,
