Time(in seconds),Dynamic Density,
109,0,0.179827,
110,0,0.171155,
111,0,0.242343,
112,0,0.222059,
113,0,0.198233,
114,0,0.244259,
115,0,0.157408,
116,0,0.193876,
117,0,0.224614,
118,0,0.172585,
119,0,0.207325,
120,0,0.474081,
121,0,0.253919,
122,0,0.200753,
123,0,0.314742,
124,0,0.244561,
125,0,0.237554,
126,0,0.280464,
127,0,0.26207,
128,0,0.242237,
129,0,0.284434,
130,0,0.254499,
131,0,0.332043,
132,0,0.307069,
133,0,0.260659,
134,0,0.260396,
135,0,0.28461,
136,0,0.274759,
137,0,0.268351,
138,0,0.31018,
139,0,0.239114,
140,0,0.277247,
141,0,0.292973,
142,0,0.272678,
143,0,0.276561,
144,0,0.336847,
145,0,0.550658,
146,0,0.344042,
147,0,0.37906,
148,0,0.311015,
149,0,0.251583,
150,0,0.292777,
151,0,0.332004,
152,0,0.29458,
153,0,0.293729,
154,0,0.221883,
155,0,0.215899,
156,0,0.20689,
157,0,0.264958,
158,0,0.274665,
159,0,0.279751,
160,0,0.248722,
161,0,0.273642,
162,0,0.301782,
163,0,0.236261,
164,0,0.204182,
165,0,0.351002,
166,0,0.250796,
167,0,0.20437,
168,0,0.351343,
169,0,0.258155,
170,0,0.504256,
171,0,0.307774,
172,0,0.25779,
173,0,0.27075,
174,0,0.236277,
175,0,0.213176,
176,0,0.27461,
177,0,0.313119,
178,0,0.240313,
179,0,0.278368,
180,0,0.307472,
181,0,0.231899,
182,0,0.245105,
183,0,0.233921,
184,0,0.248695,
185,0,0.225868,
186,0,0.250082,
187,0,0.271671,
188,0,0.252716,
189,0,0.28068,
190,0,0.247641,
191,0,0.23246,
192,0,0.238514,
193,0,0.194957,
194,0,0.17331,
195,0,0.499976,
196,0,0.30949,
197,0,0.236672,
198,0,0.22599,
199,0,0.206181,
200,0,0.203845,
201,0,0.237076,
202,0,0.227322,
203,0,0.193989,
204,0,0.318386,
205,0,0.175748,
206,0,0.218223,
207,0,0.208489,
208,0,0.186924,
209,0,0.19667,
210,0,0.191846,
211,0,0.182363,
212,0,0.284834,
213,0,0.259448,
214,0,0.168674,
215,0,0.15481,
216,0,0.182057,
217,0,0.181301,
218,0,0.146635,
219,0,0.2452,
220,0,0.54637,
221,0,0.355524,
222,0,0.323664,
223,0,0.215343,
224,0,0.288705,
225,0,0.244047,
226,0,0.242178,
227,0,0.315039,
228,0,0.296135,
229,0,0.239435,
230,0,0.205377,
231,0,0.28432,
232,0,0.271839,
233,0,0.200032,
234,0,0.324291,
235,0,0.131352,
236,0,0.149226,
237,0,0.240348,
238,0,0.133805,
239,0,0.126313,
240,0,0.1624,
241,0,0.117068,
242,0,0.118342,
243,0,0.129236,
244,0,0.0617084,
245,0,0.411813,
246,0,0.245874,
247,0,0.132877,
248,0,0.123621,
249,0,0.150919,
250,0,0.0907894,
251,0,0.295116,
252,0,0.149692,
253,0,0.126665,
254,0,0.110614,
255,0,0.289183,
256,0,0.164709,
257,0,0.191764,
258,0,0.202838,
259,0,0.125251,
260,0,0.164967,
261,0,0.235853,
262,0,0.285433,
263,0,0.184338,
264,0,0.322983,
265,0,0.218482,
266,0,0.20122,
267,0,0.25147,
268,0,0.143669,
269,0,0.101554,
270,0,0.569522,
271,0,0.325933,
272,0,0.188578,
273,0,0.253358,
274,0,0.135929,
275,0,0.130878,
276,0,0.200275,
277,0,0.0992617,
278,0,0.0850602,
279,0,0.12491,
280,0,0.10012,
281,0,0.0904289,
282,0,0.152921,
283,0,0.0924784,
284,0,0.100629,
285,0,0.113973,
286,0,0.084782,
287,0,0.0954135,
288,0,0.1011,
289,0,0.0935835,
290,0,0.102001,
291,0,0.132924,
292,0,0.069201,
293,0,0.0737194,
294,0,0.0894217,
295,0,0.414818,
296,0,0.295414,
297,0,0.3449,
298,0,0.293326,
299,0,0.294501,
300,0,0.279124,
301,0,0.288666,
302,0,0.228,
303,0,0.252571,
304,0,0.253104,
305,0,0.187273,
306,0,0.257179,
307,0,0.2008,
308,0,0.145573,
309,0,0.124561,
310,0,0.108965,
311,0,0.122661,
312,0,0.115912,
313,0,0.104724,
314,0,0.135816,
315,0,0.125725,
316,0,0.127034,
317,0,0.108408,
318,0,0.173142,
319,0,0.0836612,
320,0,0.481594,
321,0,0.25348,
322,0,0.175109,
323,0,0.175689,
324,0,0.156687,
325,0,0.142015,
326,0,0.19328,
327,0,0.231319,
328,0,0.169274,
329,0,0.148497,
330,0,0.182911,
331,0,0.310889,
332,0,0.167538,
333,0,0.175089,
334,0,0.145444,
335,0,0.213767,
336,0,0.219626,
337,0,0.179098,
338,0,0.122253,
339,0,0.187351,
340,0,0.127959,
341,0,0.132935,
342,0,0.0916123,
343,0,0.0780848,
344,0,0.0772972,
345,0,0.512379,
346,0,0.220319,
347,0,0.208081,
348,0,0.195098,
349,0,0.138708,
350,0,0.141615,
351,0,0.174188,
352,0,0.103243,
353,0,0.120372,
354,0,0.253178,
355,0,0.179831,
356,0,0.243287,
357,0,0.199444,
358,0,0.138751,
359,0,0.113628,
360,0,0.177147,
361,0,0.10396,
362,0,0.0884186,
363,0,0.187018,
364,0,0.139366,
365,0,0.0950922,
366,0,0.193696,
367,0,0.108671,
368,0,0.113173,
369,0,0.123558,
370,0,0.501517,
371,0,0.279155,
372,0,0.277239,
373,0,0.222114,
374,0,0.199209,
375,0,0.282051,
376,0,0.168345,
377,0,0.168392,
378,0,0.280025,
379,0,0.153897,
380,0,0.136227,
381,0,0.304937,
382,0,0.137058,
383,0,0.146098,
384,0,0.142709,
385,0,0.0882344,
386,0,0.104376,
387,0,0.135679,
388,0,0.0949002,
389,0,0.0770229,
390,0,0.186842,
391,0,0.109893,
392,0,0.107099,
393,0,0.165183,
394,0,0.118138,
395,0,0.459617,
396,0,0.309988,
397,0,0.21539,
398,0,0.151381,
399,0,0.230159,
400,0,0.117903,
401,0,0.125458,
402,0,0.191607,
403,0,0.141467,
404,0,0.114611,
405,0,0.182218,
406,0,0.113659,
407,0,0.1358,
408,0,0.189777,
409,0,0.149512,
410,0,0.151773,
411,0,0.183695,
412,0,0.13774,
413,0,0.15941,
414,0,0.18172,
415,0,0.166241,
416,0,0.158658,
417,0,0.163349,
418,0,0.173056,
419,0,0.1707,
420,0,0.555141,
421,0,0.31975,
422,0,0.272729,
423,0,0.32511,
424,0,0.23565,
